id=1, nearest_id=121862, x=47.1, y=128.88
id=119, nearest_id=103920, x=74.39, y=123.71
id=120, nearest_id=11991, x=33.91, y=84.88
id=121, nearest_id=12640, x=85.11, y=92.78
id=122, nearest_id=6797, x=44.38, y=157.74
id=123, nearest_id=63320, x=36.13, y=98.74
id=124, nearest_id=77107, x=55.35, y=137.47
id=125, nearest_id=149433, x=50.22, y=151.77
id=126, nearest_id=67449, x=35.63, y=136.97
id=127, nearest_id=4281, x=0.16, y=96.36
id=128, nearest_id=25154, x=18.87, y=87.65
id=129, nearest_id=92486, x=32.93, y=93.84
id=130, nearest_id=45180, x=67.54, y=124.03
id=131, nearest_id=99433, x=53.08, y=97.36
id=132, nearest_id=146322, x=7.24, y=105.62
id=133, nearest_id=82888, x=22.97, y=117.54
id=134, nearest_id=29841, x=20.56, y=97.7
id=135, nearest_id=84388, x=63.17, y=148.02
id=136, nearest_id=142229, x=65.22, y=88.06
id=137, nearest_id=71897, x=11.21, y=87.55
id=138, nearest_id=17447, x=30.26, y=85.06
id=139, nearest_id=17408, x=69.76, y=112.08
id=140, nearest_id=55530, x=4.82, y=149.63
id=141, nearest_id=129782, x=70.71, y=137.29
id=142, nearest_id=138865, x=51.69, y=94.34
id=143, nearest_id=24764, x=55.06, y=128.79
id=144, nearest_id=98359, x=71.0, y=106.88
id=145, nearest_id=23722, x=23.31, y=142.29
id=146, nearest_id=1711, x=13.26, y=142.76
id=147, nearest_id=109715, x=16.78, y=131.86
id=148, nearest_id=89825, x=66.04, y=122.74
id=149, nearest_id=148956, x=59.4, y=120.07
id=150, nearest_id=99524, x=87.88, y=105.48
id=151, nearest_id=51186, x=2.29, y=156.78
id=152, nearest_id=149006, x=6.84, y=86.09
id=153, nearest_id=84832, x=26.78, y=155.88
id=154, nearest_id=16507, x=12.8, y=127.93
id=155, nearest_id=108684, x=10.64, y=122.86
id=156, nearest_id=66967, x=82.44, y=134.4
id=157, nearest_id=68400, x=76.21, y=119.62
id=158, nearest_id=68553, x=75.21, y=116.23
id=159, nearest_id=29481, x=25.73, y=93.14
id=160, nearest_id=33077, x=78.93, y=125.81
id=161, nearest_id=40076, x=79.13, y=105.73
id=162, nearest_id=70679, x=30.86, y=110.79
id=163, nearest_id=88057, x=79.01, y=131.94
id=164, nearest_id=95654, x=79.98, y=80.49
id=165, nearest_id=23688, x=56.23, y=94.63
id=166, nearest_id=27959, x=4.53, y=92.23
id=167, nearest_id=83868, x=16.47, y=83.57
id=168, nearest_id=108692, x=60.09, y=146.14
id=169, nearest_id=76992, x=4.09, y=139.27
id=170, nearest_id=104923, x=65.19, y=116.58
id=171, nearest_id=26497, x=87.07, y=129.16
id=172, nearest_id=112090, x=18.51, y=147.11
id=173, nearest_id=83019, x=32.36, y=123.63
id=174, nearest_id=76795, x=88.1, y=89.43
id=175, nearest_id=132299, x=27.75, y=149.06
id=176, nearest_id=90569, x=58.54, y=117.73
id=177, nearest_id=125432, x=80.75, y=153.62
id=178, nearest_id=43327, x=49.78, y=88.43
id=179, nearest_id=125483, x=27.05, y=111.55
id=180, nearest_id=76398, x=81.87, y=159.5
id=181, nearest_id=10333, x=45.52, y=125.7
id=182, nearest_id=128847, x=3.1, y=87.72
id=183, nearest_id=131822, x=17.48, y=113.78
id=184, nearest_id=82154, x=31.74, y=116.26
id=185, nearest_id=89695, x=30.68, y=100.01
id=186, nearest_id=47748, x=58.56, y=143.23
id=187, nearest_id=132446, x=35.91, y=157.01
id=188, nearest_id=44236, x=87.96, y=107.54
id=189, nearest_id=148783, x=36.67, y=134.46
id=190, nearest_id=32601, x=21.28, y=110.62
id=191, nearest_id=50061, x=33.67, y=92.53
id=192, nearest_id=37975, x=31.16, y=125.8
id=193, nearest_id=96716, x=34.54, y=102.77
id=194, nearest_id=41460, x=40.52, y=120.17
id=195, nearest_id=60924, x=66.89, y=83.46
id=196, nearest_id=56471, x=28.37, y=151.7
id=197, nearest_id=20124, x=29.56, y=82.76
id=198, nearest_id=41854, x=10.03, y=93.42
id=199, nearest_id=111350, x=16.29, y=152.71
id=200, nearest_id=88404, x=42.17, y=137.12
Total Time: 17.3415 seconds
Average Time per Query: 0.0867 seconds
